pixelindex,2h_b,2h_m,6h_b,6h_m,10m_b,10m_m,12h_b,12h_m,20m_b,20m_m,24h_b,24h_m,30m_b,30m_m,60m_b,60m_m
121060,-1.57604,0.063931,-1.57604,0.041626,-1.57604,0.23244,-1.57604,0.032107,-1.57604,0.151226,-1.57604,0.02615,-1.57604,0.122258,-1.57604,0.086365
121061,-1.58044,0.063984,-1.58044,0.041661,-1.58044,0.232633,-1.58044,0.032134,-1.58044,0.151352,-1.58044,0.026171,-1.58044,0.122359,-1.58044,0.086437
121062,-1.58418,0.064023,-1.58418,0.041687,-1.58418,0.232776,-1.58418,0.032154,-1.58418,0.151445,-1.58418,0.026187,-1.58418,0.122434,-1.58418,0.08649
121063,-1.59034,0.064095,-1.59034,0.041733,-1.59034,0.233035,-1.59034,0.032189,-1.59034,0.151613,-1.59034,0.026216,-1.59034,0.122571,-1.59034,0.086587
121064,-1.6013,0.064313,-1.6013,0.041875,-1.6013,0.23383,-1.6013,0.032299,-1.6013,0.152131,-1.6013,0.026306,-1.6013,0.122989,-1.6013,0.086882
121065,-1.58853,0.064141,-1.58853,0.041764,-1.58853,0.233206,-1.58853,0.032213,-1.58853,0.151724,-1.58853,0.026236,-1.58853,0.12266,-1.58853,0.08665
121066,-1.58226,0.064024,-1.58226,0.041687,-1.58226,0.232778,-1.58226,0.032154,-1.58226,0.151446,-1.58226,0.026188,-1.58226,0.122435,-1.58226,0.086491
121067,-1.58158,0.063978,-1.58158,0.041657,-1.58158,0.232612,-1.58158,0.032131,-1.58158,0.151338,-1.58158,0.026169,-1.58158,0.122348,-1.58158,0.086429
121068,-1.60792,0.064269,-1.60792,0.041846,-1.60792,0.233668,-1.60792,0.032277,-1.60792,0.152025,-1.60792,0.026288,-1.60792,0.122903,-1.60792,0.086822
121069,-1.65966,0.064862,-1.65966,0.042233,-1.65966,0.235826,-1.65966,0.032575,-1.65966,0.153429,-1.65966,0.02653,-1.65966,0.124038,-1.65966,0.087624
121070,-1.71962,0.065541,-1.71962,0.042675,-1.71962,0.238294,-1.71962,0.032916,-1.71962,0.155035,-1.71962,0.026808,-1.71962,0.125337,-1.71962,0.08854
121071,-1.78204,0.066253,-1.78204,0.043138,-1.78204,0.240881,-1.78204,0.033273,-1.78204,0.156718,-1.78204,0.027099,-1.78204,0.126697,-1.78204,0.089502
121072,-1.84728,0.066996,-1.84728,0.043622,-1.84728,0.243585,-1.84728,0.033647,-1.84728,0.158477,-1.84728,0.027403,-1.84728,0.128119,-1.84728,0.090506
121073,-1.91321,0.067744,-1.91321,0.04411,-1.91321,0.246305,-1.91321,0.034022,-1.91321,0.160247,-1.91321,0.027709,-1.91321,0.12955,-1.91321,0.091517
121074,-1.97476,0.068435,-1.97476,0.044559,-1.97476,0.248818,-1.97476,0.034369,-1.97476,0.161881,-1.97476,0.027992,-1.97476,0.130872,-1.97476,0.092451
121075,-2.03856,0.069138,-2.03856,0.045017,-2.03856,0.251371,-2.03856,0.034722,-2.03856,0.163543,-2.03856,0.028279,-2.03856,0.132215,-2.03856,0.093399
