gauge_id,gauge_name,last_data,trace_id,trace_name,alarm_id,alarm_name,alarm_type,threshold,severity,is_critical,source
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38616,Rainfall 24 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,802009,Max TP108 ARI,14672.0,ARI Max Threshold,Overflow,5.0,High,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,802009,Max TP108 ARI,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,1482413,Rainfall 60 min window sum - Mirror,23227.0,1 hour Accumulated Threshold,Overflow,15.0,Low,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,1482413,Rainfall 60 min window sum - Mirror,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,230605,Rainfall 30 second window sum,7890.0,2.5 mm,Overflow,2.49,Medium,True,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,230605,Rainfall 30 second window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38611,Rainfall 30 min window sum,22889.0,Rain - Omaha Rain @ Golf Course_threshold_alarm_15mm,Overflow,15.0,Medium,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38611,Rainfall 30 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38612,Rainfall 60 min window sum,22822.0,Rain - Omaha Rain @ Golf Course_threshold_alarm_15mm,Overflow,25.0,Medium,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38612,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38614,Rainfall 6 hr window sum,22684.0,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38614,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38607,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38615,Rainfall 12 hr window sum,22755.0,Rain - Omaha Rain @ Golf Course_threshold_alarm,Overflow,70.0,Medium,False,threshold_config
3758511,ACC - Rain - Omaha Rain @ Golf Course,2025-12-12,38615,Rainfall 12 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,1480860,10mm Drought Alarm,22612.0,Rain - RAWS @ GBI_10mm Drought Alarm,Overflow,0.99,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,1480860,10mm Drought Alarm,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,1482952,Rainfall 7 days window sum,23308.0,Rain - RAWS @ GBI_threshold_alarm,Overflow,180.0,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,1482952,Rainfall 7 days window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38619,Rainfall,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38623,Rainfall 30 min window sum,22888.0,Rain - RAWS @ GBI_threshold_alarm_15mm,Overflow,15.0,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38623,Rainfall 30 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38626,Rainfall 6 hr window sum,22683.0,Rain - RAWS @ GBI_threshold_alarm,Overflow,50.0,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38626,Rainfall 6 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38624,Rainfall 60 min window sum,22821.0,Rain - RAWS @ GBI_threshold_alarm_15mm,Overflow,25.0,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38624,Rainfall 60 min window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38627,Rainfall 12 hr window sum,22754.0,Rain - RAWS @ GBI_threshold_alarm,Overflow,70.0,Medium,False,threshold_config
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38627,Rainfall 12 hr window sum,,Has alarms (recency),DataRecency,,,,has_alarms_flag
3758512,ACC - Rain - RAWS @ GBI,2025-12-12,38621,Rainfall 10 min window sum,7899.0,mm,Overflow,30.0,Medium,True,threshold_config
